paper_id,paper_name,paper_suite,paper_app,paper_kernel_or_phase,paper_type,paper_inst_per_l1_miss,local_suite_guess,local_app_guess,local_path,local_binary,local_data_path,local_command,local_input_size,phase_mapping_status,availability_status,build_status,run_command_status,expected_runtime_class,notes
bp_2,BP-2,Rodinia,backprop,phase_2,M,19,rodinia,rodinia_backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,,bash scripts/run_one.sh rodinia_backprop,tiny,app_only,partial_phase_unknown,ready,placeholder_phase_unknown,tiny,Local backprop app exists but BP-2 paper phase mapping is unresolved
bfs,bfs,Rodinia,bfs,whole_app,M,2.4,rodinia,rodinia_bfs,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/bfs.out,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/data/tiny_graph.txt,bash scripts/run_one.sh rodinia_bfs,tiny,approximate,available,ready,ready,tiny,Local Rodinia BFS tiny wrapper is available
histo_1,histo-1,Parboil,histo,phase_1,M,15.3,parboil,parboil_histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,,bash scripts/run_one.sh parboil_histo,tiny,app_only,partial_phase_unknown,ready,placeholder_phase_unknown,tiny,Local histo app exists but histo-1 paper phase mapping is unresolved
histo_3,histo-3,Parboil,histo,phase_3,M,14.3,parboil,parboil_histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,,bash scripts/run_one.sh parboil_histo,tiny,app_only,partial_phase_unknown,ready,placeholder_phase_unknown,tiny,Local histo app exists but histo-3 paper phase mapping is unresolved
kmeans_1,kmeans-1,Rodinia,kmeans,phase_1,M,0.27,rodinia,rodinia_kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,,bash scripts/run_one.sh rodinia_kmeans,tiny,app_only,partial_phase_unknown,ready,placeholder_phase_unknown,tiny,Local kmeans app exists but kmeans-1 paper phase mapping is unresolved
lbm,lbm,Parboil,lbm,whole_app,M,10.4,parboil,parboil_lbm,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local lbm wrapper found in gpgpu-workloads manifest
leuko_1,leuko-1,Rodinia,leukocyte,phase_1,M,28,rodinia,rodinia_leukocyte,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local leukocyte wrapper found in gpgpu-workloads manifest
mrig_1,mrig-1,Parboil,mri-gridding,phase_1,M,13.4,parboil,parboil_mri_gridding,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local mri-gridding wrapper found in gpgpu-workloads manifest
mrig_2,mrig-2,Parboil,mri-gridding,phase_2,M,22.4,parboil,parboil_mri_gridding,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local mri-gridding wrapper found in gpgpu-workloads manifest
mummer,mummer,Rodinia,mummergpu,whole_app,M,4.9,rodinia,rodinia_mummer,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local mummer wrapper found in gpgpu-workloads manifest
particle,particle,Rodinia,particlefilter,whole_app,M,3.5,rodinia,rodinia_particlefilter,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local particlefilter wrapper found in gpgpu-workloads manifest
sad_2,sad-2,Parboil,sad,phase_2,M,10.2,parboil,parboil_sad,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local sad wrapper found in gpgpu-workloads manifest
spmv,spmv,Parboil,spmv,whole_app,M,4.2,parboil,parboil_spmv,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv/spmv,,bash scripts/run_one.sh parboil_spmv,tiny,approximate,available,ready,ready,tiny,Local Parboil SpMV tiny wrapper is available
srad_1,srad-1,Rodinia,srad,phase_1,M,25,rodinia,rodinia_srad_v2,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,,bash scripts/run_one.sh rodinia_srad_v2,tiny,app_only,partial_phase_unknown,ready,placeholder_phase_unknown,tiny,Local SRAD v2 app exists but srad-1 paper phase mapping is unresolved
srad_2,srad-2,Rodinia,srad,phase_2,M,22,rodinia,rodinia_srad_v2,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,,bash scripts/run_one.sh rodinia_srad_v2,tiny,app_only,partial_phase_unknown,ready,placeholder_phase_unknown,tiny,Local SRAD v2 app exists but srad-2 paper phase mapping is unresolved
bp_1,BP-1,Rodinia,backprop,phase_1,C,107,rodinia,rodinia_backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,,bash scripts/run_one.sh rodinia_backprop,tiny,app_only,partial_phase_unknown,ready,placeholder_phase_unknown,tiny,Local backprop app exists but BP-1 paper phase mapping is unresolved
