paper_id,paper_name,paper_type,wrapper_status,availability_status,result_rows,completed_rows,m2_active,m3_strict_active,m3_probe_observed,m4_active,coverage_status
bp_2,BP-2,M,ready,available_approx_phase,4,4,1,0,0,1,swept
bfs,bfs,M,ready,available,4,4,0,0,0,0,swept
histo_1,histo-1,M,ready,available_approx_phase,4,4,0,0,0,0,swept
histo_3,histo-3,M,ready,available_approx_phase,4,4,0,0,0,0,swept
kmeans_1,kmeans-1,M,ready,available_approx_phase,4,4,0,0,0,0,swept
lbm,lbm,M,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
leuko_1,leuko-1,M,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
mrig_1,mrig-1,M,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
mrig_2,mrig-2,M,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
mummer,mummer,M,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
particle,particle,M,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
sad_2,sad-2,M,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
spmv,spmv,M,ready,available,4,4,0,0,0,0,swept
srad_1,srad-1,M,ready,available_approx_phase,4,4,1,0,0,1,swept
srad_2,srad-2,M,ready,available_approx_phase,4,4,1,0,0,1,swept
bp_1,BP-1,C,ready,available_approx_phase,4,4,1,0,0,1,swept
cutcp,cutcp,C,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
histo_2,histo-2,C,ready,available_approx_phase,4,4,0,0,0,0,swept
histogram,histogram,C,placeholder_missing_source,missing_source,0,0,0,0,0,0,placeholder_missing_source
kmeans_2,kmeans-2,C,ready,available_approx_phase,4,4,0,0,0,0,swept
lavamd,lavaMD,C,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
leuko_2,leuko-2,C,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
leuko_3,leuko-3,C,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
mri_q,mri-q,C,ready,available,4,4,0,0,0,0,swept
mrig_3,mrig-3,C,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
pathfinder,pathfinder,C,ready,available,4,4,0,0,0,0,swept
sad_1,sad-1,C,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
sgemm,sgemm,C,ready,available,4,4,0,0,0,0,swept
stencil,stencil,C,ready,available,4,4,0,0,0,0,swept
tpacf,tpacf,C,placeholder_missing_binary,missing_binary,0,0,0,0,0,0,placeholder_missing_binary
