run_id,config_id,config_path,config_role,paper_id,paper_name,paper_type,wrapper_path,measurement_scope,phase_mapping_confidence_w18,selected_for_run,timeout_sec,expected_activation,duplicate_physical_group,notes
baseline_off__bp_2,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,bp_2,BP-2,M,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,app_run_inferred_phase,inferred_order,1,1800,none,phys_01,app-level sweep row; inferred_order is not exact phase mapping
m2_owner_sched__bp_2,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,bp_2,BP-2,M,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,app_run_inferred_phase,inferred_order,1,1800,M2_possible,phys_01,app-level sweep row; inferred_order is not exact phase mapping
m3_hitonly_nack__bp_2,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,bp_2,BP-2,M,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_possible,phys_01,app-level sweep row; inferred_order is not exact phase mapping
m4_reexec_load__bp_2,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,bp_2,BP-2,M,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_M4_possible,phys_01,app-level sweep row; inferred_order is not exact phase mapping
baseline_off__bfs,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,bfs,bfs,M,experiments/paper-mascar/workloads/wrappers/run_bfs.sh,app_run_unmapped,not_w18_target,1,1800,none,phys_02,app-level sweep row
m2_owner_sched__bfs,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,bfs,bfs,M,experiments/paper-mascar/workloads/wrappers/run_bfs.sh,app_run_unmapped,not_w18_target,1,1800,M2_possible,phys_02,app-level sweep row
m3_hitonly_nack__bfs,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,bfs,bfs,M,experiments/paper-mascar/workloads/wrappers/run_bfs.sh,app_run_unmapped,not_w18_target,1,1800,M2_M3_possible,phys_02,app-level sweep row
m4_reexec_load__bfs,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,bfs,bfs,M,experiments/paper-mascar/workloads/wrappers/run_bfs.sh,app_run_unmapped,not_w18_target,1,1800,M2_M3_M4_possible,phys_02,app-level sweep row
baseline_off__histo_1,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,histo_1,histo-1,M,experiments/paper-mascar/workloads/wrappers/run_histo_1.sh,app_run_inferred_phase,inferred_order,1,1800,none,phys_03,app-level sweep row; inferred_order is not exact phase mapping
m2_owner_sched__histo_1,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,histo_1,histo-1,M,experiments/paper-mascar/workloads/wrappers/run_histo_1.sh,app_run_inferred_phase,inferred_order,1,1800,M2_possible,phys_03,app-level sweep row; inferred_order is not exact phase mapping
