paper_id,paper_name,paper_type,wrapper_status,availability_status,baseline_classification,m4_classification,m4_has_stats,m4_explicit_pass,gpu_tot_sim_cycle,l1_probe_nonzero,m2_telemetry_nonzero,m2_mp_owner_active,m3_hitonly_active,m4_reexec_active,mechanism_active,activation_tier,notes,paper_mascar_l1_sat_sample,paper_mascar_l1_sat_sample_saturated,paper_mascar_m2_ep_cycles,paper_mascar_m2_mp_cycles,paper_mascar_m2_owner_acquire,paper_mascar_m2_nonowner_mem_block,paper_mascar_m2_wst_mem_bit_set,paper_mascar_m2_wst_stall_bit_set,paper_mascar_m2_l1_recent_set,paper_mascar_m3_probe_attempt,paper_mascar_m3_hitonly_access_attempt,paper_mascar_m3_hitonly_access_hit,paper_mascar_m3_hitonly_access_nack,paper_mascar_m4_would_enqueue_attempt,paper_mascar_m4_enqueue_attempt,paper_mascar_m4_enqueue_success,paper_mascar_m4_retry_attempt,paper_mascar_m4_retry_hit,paper_mascar_m4_retry_nack,paper_mascar_m4_retry_requeue,paper_mascar_m4_queue_occupancy_max
bp_2,BP-2,M,placeholder_phase_unknown,partial_phase_unknown,phase_unknown,phase_unknown,0,0,,0,0,0,0,0,0,phase_unknown,placeholder_phase_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs,bfs,M,ready,available,completed_no_explicit_pass,completed_no_explicit_pass,1,0,6665,1,1,0,0,0,0,telemetry_only,M4 config produced L1/M2 telemetry but no MP owner/M3/M4 active counters,26,0,1664,0,0,0,135,1652,0,0,0,0,0,0,0,0,0,0,0,0,0
histo_1,histo-1,M,placeholder_phase_unknown,partial_phase_unknown,phase_unknown,phase_unknown,0,0,,0,0,0,0,0,0,phase_unknown,placeholder_phase_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
histo_3,histo-3,M,placeholder_phase_unknown,partial_phase_unknown,phase_unknown,phase_unknown,0,0,,0,0,0,0,0,0,phase_unknown,placeholder_phase_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kmeans_1,kmeans-1,M,placeholder_phase_unknown,partial_phase_unknown,phase_unknown,phase_unknown,0,0,,0,0,0,0,0,0,phase_unknown,placeholder_phase_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lbm,lbm,M,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leuko_1,leuko-1,M,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mrig_1,mrig-1,M,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mrig_2,mrig-2,M,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mummer,mummer,M,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
particle,particle,M,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sad_2,sad-2,M,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spmv,spmv,M,ready,available,completed_explicit_pass,completed_explicit_pass,1,1,21813,1,1,0,0,0,0,telemetry_only,M4 config produced L1/M2 telemetry but no MP owner/M3/M4 active counters,674,0,23777,0,0,0,784,22523,0,0,0,0,0,0,0,0,0,0,0,0,0
srad_1,srad-1,M,placeholder_phase_unknown,partial_phase_unknown,phase_unknown,phase_unknown,0,0,,0,0,0,0,0,0,phase_unknown,placeholder_phase_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srad_2,srad-2,M,placeholder_phase_unknown,partial_phase_unknown,phase_unknown,phase_unknown,0,0,,0,0,0,0,0,0,phase_unknown,placeholder_phase_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bp_1,BP-1,C,placeholder_phase_unknown,partial_phase_unknown,phase_unknown,phase_unknown,0,0,,0,0,0,0,0,0,phase_unknown,placeholder_phase_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cutcp,cutcp,C,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
histo_2,histo-2,C,placeholder_phase_unknown,partial_phase_unknown,phase_unknown,phase_unknown,0,0,,0,0,0,0,0,0,phase_unknown,placeholder_phase_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
