paper_id,paper_name,paper_type,availability_status,wrapper_path,wrapper_status,build_required,build_command,run_working_dir,run_command,input_size,timeout_sec,dry_run_status,notes
bp_2,BP-2,M,partial_phase_unknown,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_backprop,tiny,300,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
bfs,bfs,M,available,experiments/paper-mascar/workloads/wrappers/run_bfs.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_bfs,tiny,300,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
histo_1,histo-1,M,partial_phase_unknown,experiments/paper-mascar/workloads/wrappers/run_histo_1.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh parboil_histo,tiny,300,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
histo_3,histo-3,M,partial_phase_unknown,experiments/paper-mascar/workloads/wrappers/run_histo_3.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh parboil_histo,tiny,300,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
kmeans_1,kmeans-1,M,partial_phase_unknown,experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_kmeans,tiny,300,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
lbm,lbm,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_lbm.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
leuko_1,leuko-1,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_leuko_1.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
mrig_1,mrig-1,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mrig_1.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
mrig_2,mrig-2,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mrig_2.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
mummer,mummer,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mummer.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
particle,particle,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_particle.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
sad_2,sad-2,M,missing_binary,experiments/paper-mascar/workloads/wrappers/run_sad_2.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
spmv,spmv,M,available,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_spmv_w7.sh,ready,no,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv,bash /workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/workloads/matrix/W5C/commands/run_spmv_w5c_command.sh,w7_iter1_1024x1024_d16,1200,pass,W9 attempt3: retained W7 large input as control; W9 attempt3_pathfinder_512: W7 iter1 reuses the larger W5C sparse matrix instead of W6 iter2 256x256 input to increase irregular load pressure
srad_1,srad-1,M,partial_phase_unknown,experiments/paper-mascar/workloads/wrappers/run_srad_1.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_srad_v2,tiny,300,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
srad_2,srad-2,M,partial_phase_unknown,experiments/paper-mascar/workloads/wrappers/run_srad_2.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_srad_v2,tiny,300,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
bp_1,BP-1,C,partial_phase_unknown,experiments/paper-mascar/workloads/wrappers/run_bp_1.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_backprop,tiny,300,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
cutcp,cutcp,C,missing_binary,experiments/paper-mascar/workloads/wrappers/run_cutcp.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
histo_2,histo-2,C,partial_phase_unknown,experiments/paper-mascar/workloads/wrappers/run_histo_2.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh parboil_histo,tiny,300,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
histogram,histogram,C,missing_source,experiments/paper-mascar/workloads/wrappers/run_histogram.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
kmeans_2,kmeans-2,C,partial_phase_unknown,experiments/paper-mascar/workloads/wrappers/run_kmeans_2.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh rodinia_kmeans,tiny,300,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
lavamd,lavaMD,C,missing_binary,experiments/paper-mascar/workloads/wrappers/run_lavamd.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
leuko_2,leuko-2,C,missing_binary,experiments/paper-mascar/workloads/wrappers/run_leuko_2.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
leuko_3,leuko-3,C,missing_binary,experiments/paper-mascar/workloads/wrappers/run_leuko_3.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
mri_q,mri-q,C,available,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_mri_q_w7.sh,ready,no,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q,./mri-q -i /workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/workloads/matrix/W5C/data/mriq_k128_x128.bin 128,w7_iter1_k128_x128,1200,pass,W9 attempt3: retained W7 large input as control; W9 attempt3_pathfinder_512: W7 iter1 reuses larger W5C MRI-Q input for sanity; compute-heavy workload is not over-stressed
mrig_3,mrig-3,C,missing_binary,experiments/paper-mascar/workloads/wrappers/run_mrig_3.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
pathfinder,pathfinder,C,available,experiments/paper-mascar/workloads/matrix/W7/wrappers/run_pathfinder_w7.sh,ready,no,,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder,./pathfinder 512 512 4,w9_attempt3_512x512_p4,1200,pass,W9 attempt3: pathfinder dimensions doubled again to increase concurrent memory pressure and search for M3 non-owner hit-only activation
sad_1,sad-1,C,missing_binary,experiments/paper-mascar/workloads/wrappers/run_sad_1.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
sgemm,sgemm,C,available,experiments/paper-mascar/workloads/wrappers/run_sgemm.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh parboil_sgemm,tiny,300,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
stencil,stencil,C,available,experiments/paper-mascar/workloads/wrappers/run_stencil.sh,placeholder_out_of_scope,no,,/workspace/repos/gpgpu-workloads,bash scripts/run_one.sh parboil_stencil,tiny,300,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
tpacf,tpacf,C,missing_binary,experiments/paper-mascar/workloads/wrappers/run_tpacf.sh,placeholder_out_of_scope,no,,,,,1200,pass,W9 attempt3_pathfinder_512: preserved Table III row outside W7 activation-ready subset
