paper_id,paper_name,paper_type,baseline_off
bp_2,BP-2,M,no_stats_exit0
bfs,bfs,M,no_stats_exit0
histo_1,histo-1,M,no_stats_exit0
histo_3,histo-3,M,no_stats_exit0
kmeans_1,kmeans-1,M,no_stats_exit0
spmv,spmv,M,no_stats_exit0
srad_1,srad-1,M,no_stats_exit0
srad_2,srad-2,M,no_stats_exit0
bp_1,BP-1,C,no_stats_exit0
histo_2,histo-2,C,no_stats_exit0
kmeans_2,kmeans-2,C,no_stats_exit0
mri_q,mri-q,C,no_stats_exit0
pathfinder,pathfinder,C,no_stats_exit0
sgemm,sgemm,C,no_stats_exit0
stencil,stencil,C,no_stats_exit0
