run_id,config_id,config_path,paper_id,paper_name,paper_type,wrapper_path,wrapper_status,run_dir,timeout_sec,exit_code,timeout,result_status_prelim,start_iso,end_iso,elapsed_sec,notes
"baseline_off__bp_2","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","bp_2","BP-2","M","experiments/paper-mascar/workloads/wrappers/run_bp_2.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_actual/runs/baseline_off/bp_2","600","0","0","completed_exit0","2026-06-05T03:14:38+08:00","2026-06-05T03:14:42+08:00","4","W11: selected ready M workload; W10 approximate phase expansion; original note: Local backprop app exists but BP-2 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"baseline_off__bfs","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","bfs","bfs","M","experiments/paper-mascar/workloads/wrappers/run_bfs.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_actual/runs/baseline_off/bfs","600","0","0","completed_exit0","2026-06-05T03:14:42+08:00","2026-06-05T03:15:03+08:00","21","W11: selected ready M workload; W10 retained ready row; original note: Local Rodinia BFS tiny wrapper; W10 direct command to keep matrix config override restorable"
"baseline_off__histo_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","histo_1","histo-1","M","experiments/paper-mascar/workloads/wrappers/run_histo_1.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_actual/runs/baseline_off/histo_1","600","0","0","completed_exit0","2026-06-05T03:15:03+08:00","2026-06-05T03:15:16+08:00","13","W11: selected ready M workload; W10 approximate phase expansion; original note: Local histo app exists but histo-1 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"baseline_off__histo_3","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","histo_3","histo-3","M","experiments/paper-mascar/workloads/wrappers/run_histo_3.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_actual/runs/baseline_off/histo_3","600","0","0","completed_exit0","2026-06-05T03:15:16+08:00","2026-06-05T03:15:28+08:00","12","W11: selected ready M workload; W10 approximate phase expansion; original note: Local histo app exists but histo-3 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"baseline_off__kmeans_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","kmeans_1","kmeans-1","M","experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_actual/runs/baseline_off/kmeans_1","600","0","0","completed_exit0","2026-06-05T03:15:28+08:00","2026-06-05T03:15:34+08:00","6","W11: selected ready M workload; W10 approximate phase expansion; original note: Local kmeans app exists but kmeans-1 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"baseline_off__spmv","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","spmv","spmv","M","experiments/paper-mascar/workloads/wrappers/run_spmv.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_actual/runs/baseline_off/spmv","600","0","0","completed_exit0","2026-06-05T03:15:34+08:00","2026-06-05T03:18:20+08:00","166","W11: selected ready M workload; W10 retained ready row; original note: Local Parboil SpMV tiny wrapper; W10 direct command to keep matrix config override restorable"
"baseline_off__srad_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","srad_1","srad-1","M","experiments/paper-mascar/workloads/wrappers/run_srad_1.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_actual/runs/baseline_off/srad_1","600","0","0","completed_exit0","2026-06-05T03:18:20+08:00","2026-06-05T03:18:25+08:00","5","W11: selected ready M workload; W10 approximate phase expansion; original note: Local SRAD app exists but srad-1 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"baseline_off__srad_2","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","srad_2","srad-2","M","experiments/paper-mascar/workloads/wrappers/run_srad_2.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_actual/runs/baseline_off/srad_2","600","0","0","completed_exit0","2026-06-05T03:18:25+08:00","2026-06-05T03:18:29+08:00","4","W11: selected ready M workload; W10 approximate phase expansion; original note: Local SRAD app exists but srad-2 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"m2_owner_sched__bp_2","m2_owner_sched","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on","bp_2","BP-2","M","experiments/paper-mascar/workloads/wrappers/run_bp_2.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_actual/runs/m2_owner_sched/bp_2","600","0","0","completed_exit0","2026-06-05T03:18:29+08:00","2026-06-05T03:18:33+08:00","4","W11: selected ready M workload; W10 approximate phase expansion; original note: Local backprop app exists but BP-2 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"m2_owner_sched__bfs","m2_owner_sched","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on","bfs","bfs","M","experiments/paper-mascar/workloads/wrappers/run_bfs.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_actual/runs/m2_owner_sched/bfs","600","0","0","completed_exit0","2026-06-05T03:18:33+08:00","2026-06-05T03:18:54+08:00","21","W11: selected ready M workload; W10 retained ready row; original note: Local Rodinia BFS tiny wrapper; W10 direct command to keep matrix config override restorable"
