run_id,config_id,paper_id,paper_name,paper_type,wrapper_status,run_dir,exit_code,timeout,result_status_prelim,classification,has_stats,explicit_pass,gpu_tot_sim_cycle,gpu_tot_ipc,gpu_tot_sim_insn,paper_mascar_l1_sat_sample,paper_mascar_l1_sat_sample_saturated,paper_mascar_m2_ep_cycles,paper_mascar_m2_mp_cycles,paper_mascar_m2_owner_acquire,paper_mascar_m2_nonowner_mem_block,paper_mascar_m3_hitonly_access_attempt,paper_mascar_m3_hitonly_access_hit,paper_mascar_m3_hitonly_access_nack,paper_mascar_m3_probe_attempt,paper_mascar_m3_probe_hit,paper_mascar_m3_probe_nack,paper_mascar_m3_probe_skip_not_mp,paper_mascar_m3_probe_skip_no_owner,paper_mascar_m3_probe_skip_owner,paper_mascar_m3_probe_skip_nonload,paper_mascar_m3_nonowner_lsu_probe_allowed,paper_mascar_m3_nonowner_lsu_probe_block_nonload,paper_mascar_m3_nack_guard_owner_release,paper_mascar_m4_enqueue_success,paper_mascar_m4_retry_attempt,paper_mascar_m4_retry_hit,paper_mascar_m4_retry_nack,paper_mascar_m4_retry_requeue,paper_mascar_m4_queue_occupancy_max,cacheinst_L1D_access_total,cacheinst_L1D_hit,cacheinst_L1D_miss,cacheinst_L1D_reservation_fail,gpgpusim_exit,result_status,result_pass
baseline_off__bp_2,baseline_off,bp_2,BP-2,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/bp_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__bfs,baseline_off,bfs,bfs,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/bfs,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__histo_1,baseline_off,histo_1,histo-1,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/histo_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__histo_3,baseline_off,histo_3,histo-3,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/histo_3,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__kmeans_1,baseline_off,kmeans_1,kmeans-1,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/kmeans_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__spmv,baseline_off,spmv,spmv,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/spmv,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__srad_1,baseline_off,srad_1,srad-1,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/srad_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__srad_2,baseline_off,srad_2,srad-2,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/srad_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2_owner_sched__bp_2,m2_owner_sched,bp_2,BP-2,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/m2_owner_sched/bp_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2_owner_sched__bfs,m2_owner_sched,bfs,bfs,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/m2_owner_sched/bfs,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2_owner_sched__histo_1,m2_owner_sched,histo_1,histo-1,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/m2_owner_sched/histo_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2_owner_sched__histo_3,m2_owner_sched,histo_3,histo-3,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/m2_owner_sched/histo_3,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2_owner_sched__kmeans_1,m2_owner_sched,kmeans_1,kmeans-1,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/m2_owner_sched/kmeans_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2_owner_sched__spmv,m2_owner_sched,spmv,spmv,M,ready,experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/m2_owner_sched/spmv,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
