run_id,config_id,config_path,paper_id,paper_name,paper_type,wrapper_path,wrapper_status,run_dir,timeout_sec,exit_code,timeout,result_status_prelim,start_iso,end_iso,elapsed_sec,notes
"baseline_off__bp_2","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","bp_2","BP-2","M","experiments/paper-mascar/workloads/wrappers/run_bp_2.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/bp_2","600","0","0","completed_exit0","2026-06-05T03:14:27+08:00","2026-06-05T03:14:27+08:00","0","W11: selected ready M workload; W10 approximate phase expansion; original note: Local backprop app exists but BP-2 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"baseline_off__bfs","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","bfs","bfs","M","experiments/paper-mascar/workloads/wrappers/run_bfs.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/bfs","600","0","0","completed_exit0","2026-06-05T03:14:27+08:00","2026-06-05T03:14:27+08:00","0","W11: selected ready M workload; W10 retained ready row; original note: Local Rodinia BFS tiny wrapper; W10 direct command to keep matrix config override restorable"
"baseline_off__histo_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","histo_1","histo-1","M","experiments/paper-mascar/workloads/wrappers/run_histo_1.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/histo_1","600","0","0","completed_exit0","2026-06-05T03:14:27+08:00","2026-06-05T03:14:27+08:00","0","W11: selected ready M workload; W10 approximate phase expansion; original note: Local histo app exists but histo-1 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"baseline_off__histo_3","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","histo_3","histo-3","M","experiments/paper-mascar/workloads/wrappers/run_histo_3.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/histo_3","600","0","0","completed_exit0","2026-06-05T03:14:27+08:00","2026-06-05T03:14:27+08:00","0","W11: selected ready M workload; W10 approximate phase expansion; original note: Local histo app exists but histo-3 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"baseline_off__kmeans_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","kmeans_1","kmeans-1","M","experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/kmeans_1","600","0","0","completed_exit0","2026-06-05T03:14:27+08:00","2026-06-05T03:14:27+08:00","0","W11: selected ready M workload; W10 approximate phase expansion; original note: Local kmeans app exists but kmeans-1 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"baseline_off__spmv","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","spmv","spmv","M","experiments/paper-mascar/workloads/wrappers/run_spmv.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/spmv","600","0","0","completed_exit0","2026-06-05T03:14:27+08:00","2026-06-05T03:14:27+08:00","0","W11: selected ready M workload; W10 retained ready row; original note: Local Parboil SpMV tiny wrapper; W10 direct command to keep matrix config override restorable"
"baseline_off__srad_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","srad_1","srad-1","M","experiments/paper-mascar/workloads/wrappers/run_srad_1.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/srad_1","600","0","0","completed_exit0","2026-06-05T03:14:27+08:00","2026-06-05T03:14:27+08:00","0","W11: selected ready M workload; W10 approximate phase expansion; original note: Local SRAD app exists but srad-1 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"baseline_off__srad_2","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","srad_2","srad-2","M","experiments/paper-mascar/workloads/wrappers/run_srad_2.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/baseline_off/srad_2","600","0","0","completed_exit0","2026-06-05T03:14:27+08:00","2026-06-05T03:14:27+08:00","0","W11: selected ready M workload; W10 approximate phase expansion; original note: Local SRAD app exists but srad-2 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"m2_owner_sched__bp_2","m2_owner_sched","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on","bp_2","BP-2","M","experiments/paper-mascar/workloads/wrappers/run_bp_2.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/m2_owner_sched/bp_2","600","0","0","completed_exit0","2026-06-05T03:14:27+08:00","2026-06-05T03:14:27+08:00","0","W11: selected ready M workload; W10 approximate phase expansion; original note: Local backprop app exists but BP-2 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
"m2_owner_sched__bfs","m2_owner_sched","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on","bfs","bfs","M","experiments/paper-mascar/workloads/wrappers/run_bfs.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/m2_owner_sched/bfs","600","0","0","completed_exit0","2026-06-05T03:14:27+08:00","2026-06-05T03:14:27+08:00","0","W11: selected ready M workload; W10 retained ready row; original note: Local Rodinia BFS tiny wrapper; W10 direct command to keep matrix config override restorable"
"m2_owner_sched__histo_1","m2_owner_sched","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on","histo_1","histo-1","M","experiments/paper-mascar/workloads/wrappers/run_histo_1.sh","ready","experiments/paper-mascar/workloads/results/W11/w11_dryrun/runs/m2_owner_sched/histo_1","600","0","0","completed_exit0","2026-06-05T03:14:27+08:00","2026-06-05T03:14:27+08:00","0","W11: selected ready M workload; W10 approximate phase expansion; original note: Local histo app exists but histo-1 phase mapping is unresolved; W10 direct command to keep matrix config override restorable"
