paper_id,source_path,candidate_binary,binary_exists,recovery_status,notes
"lbm","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm","","0","binary_missing","no executable recovered"
"leuko_1","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","","0","binary_missing","no executable recovered"
"mrig_1","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding","","0","binary_missing","no executable recovered"
"mrig_2","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding","","0","binary_missing","no executable recovered"
"mummer","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu","","0","binary_missing","no executable recovered"
"particle","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter","","0","binary_missing","no executable recovered"
"sad_2","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad","","0","binary_missing","no executable recovered"
"cutcp","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp","","0","binary_missing","no executable recovered"
"lavamd","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD","","0","binary_missing","no executable recovered"
"leuko_2","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","","0","binary_missing","no executable recovered"
"leuko_3","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","","0","binary_missing","no executable recovered"
"mrig_3","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding","","0","binary_missing","no executable recovered"
"sad_1","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad","","0","binary_missing","no executable recovered"
"tpacf","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf","","0","binary_missing","no executable recovered"
