paper_id,source_path,build_command,build_attempt,exit_code,timeout,binary_path,build_status,log_path,notes
"lbm","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm/src/cuda","native","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/lbm_native.log",""
"lbm","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm/src/cuda_base","fallback","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/lbm_fallback.log",""
"leuko_1","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","native","2","0","","failed_missing_dependency","/workspace/tmp/mascar_w17_build_logs_20260605_135412/leuko_1_native.log",""
"leuko_1","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte/CUDA","fallback","2","0","","failed_missing_dependency","/workspace/tmp/mascar_w17_build_logs_20260605_135412/leuko_1_fallback.log",""
"mrig_1","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/src/cuda","native","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/mrig_1_native.log",""
"mrig_1","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/src/cuda-base","fallback","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/mrig_1_fallback.log",""
"mrig_2","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/src/cuda","native","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/mrig_2_native.log",""
"mrig_2","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/src/cuda-base","fallback","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/mrig_2_fallback.log",""
"mummer","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu","make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu","native","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/mummer_native.log",""
"mummer","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu","make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/src","fallback","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/mummer_fallback.log",""
"particle","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter","make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter","native","2","0","","failed_unsupported_cuda","/workspace/tmp/mascar_w17_build_logs_20260605_135412/particle_native.log",""
"particle","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter","make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter","fallback_repeat","2","0","","failed_unsupported_cuda","/workspace/tmp/mascar_w17_build_logs_20260605_135412/particle_fallback_repeat.log",""
"sad_2","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad/src/cuda","native","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/sad_2_native.log",""
"sad_2","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad/src/cuda_base","fallback","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/sad_2_fallback.log",""
"cutcp","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/src/cuda","native","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/cutcp_native.log",""
"cutcp","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/src/cuda_base","fallback","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/cutcp_fallback.log",""
"lavamd","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD","make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD -f makefile","native","2","0","","failed_unsupported_cuda","/workspace/tmp/mascar_w17_build_logs_20260605_135412/lavamd_native.log",""
"lavamd","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD","make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD -f makefile","fallback_repeat","2","0","","failed_unsupported_cuda","/workspace/tmp/mascar_w17_build_logs_20260605_135412/lavamd_fallback_repeat.log",""
"leuko_2","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","native","2","0","","failed_missing_dependency","/workspace/tmp/mascar_w17_build_logs_20260605_135412/leuko_2_native.log",""
"leuko_2","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte/CUDA","fallback","2","0","","failed_missing_dependency","/workspace/tmp/mascar_w17_build_logs_20260605_135412/leuko_2_fallback.log",""
"leuko_3","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","native","2","0","","failed_missing_dependency","/workspace/tmp/mascar_w17_build_logs_20260605_135412/leuko_3_native.log",""
"leuko_3","/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte","make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte/CUDA","fallback","2","0","","failed_missing_dependency","/workspace/tmp/mascar_w17_build_logs_20260605_135412/leuko_3_fallback.log",""
"mrig_3","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/src/cuda","native","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/mrig_3_native.log",""
"mrig_3","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/src/cuda-base","fallback","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/mrig_3_fallback.log",""
"sad_1","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad/src/cuda","native","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/sad_1_native.log",""
"sad_1","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad/src/cuda_base","fallback","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/sad_1_fallback.log",""
"tpacf","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf/src/cuda","native","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/tpacf_native.log",""
"tpacf","/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf","make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf/src/cuda_base","fallback","2","0","","failed_compile","/workspace/tmp/mascar_w17_build_logs_20260605_135412/tpacf_fallback.log",""
