run_id,config_id,config_path,paper_id,paper_name,paper_type,wrapper_path,wrapper_status,run_dir,timeout_sec,exit_code,timeout,result_status_prelim,start_iso,end_iso,elapsed_sec,notes
"baseline_off__bp_2","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","bp_2","BP-2","M","experiments/paper-mascar/workloads/wrappers/run_bp_2.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/workloads/results/W24/w24_sweep_dryrun_20260605_173556/runs/baseline_off/bp_2","1800","0","0","completed_exit0","2026-06-05T17:35:56+08:00","2026-06-05T17:35:56+08:00","0","measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local backprop app exists but BP-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local backprop app exists but BP-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update."
"baseline_off__bfs","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","bfs","bfs","M","experiments/paper-mascar/workloads/wrappers/run_bfs.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/workloads/results/W24/w24_sweep_dryrun_20260605_173556/runs/baseline_off/bfs","1800","0","0","completed_exit0","2026-06-05T17:35:56+08:00","2026-06-05T17:35:56+08:00","0","measurement_scope=app_run_unmapped; phase_confidence=not_w18_target; Local Rodinia BFS tiny wrapper; Local Rodinia BFS tiny wrapper; Local Rodinia BFS tiny wrapper"
"baseline_off__histo_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","histo_1","histo-1","M","experiments/paper-mascar/workloads/wrappers/run_histo_1.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/workloads/results/W24/w24_sweep_dryrun_20260605_173556/runs/baseline_off/histo_1","1800","0","0","completed_exit0","2026-06-05T17:35:56+08:00","2026-06-05T17:35:56+08:00","0","measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local histo app exists but histo-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local histo app exists but histo-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update."
"baseline_off__histo_3","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","histo_3","histo-3","M","experiments/paper-mascar/workloads/wrappers/run_histo_3.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/workloads/results/W24/w24_sweep_dryrun_20260605_173556/runs/baseline_off/histo_3","1800","0","0","completed_exit0","2026-06-05T17:35:56+08:00","2026-06-05T17:35:57+08:00","1","measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local histo app exists but histo-3 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local histo app exists but histo-3 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update."
"baseline_off__kmeans_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","kmeans_1","kmeans-1","M","experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/workloads/results/W24/w24_sweep_dryrun_20260605_173556/runs/baseline_off/kmeans_1","1800","0","0","completed_exit0","2026-06-05T17:35:57+08:00","2026-06-05T17:35:57+08:00","0","measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local kmeans app exists but kmeans-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local kmeans app exists but kmeans-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update."
"baseline_off__spmv","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","spmv","spmv","M","experiments/paper-mascar/workloads/wrappers/run_spmv.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/workloads/results/W24/w24_sweep_dryrun_20260605_173556/runs/baseline_off/spmv","1800","0","0","completed_exit0","2026-06-05T17:35:57+08:00","2026-06-05T17:35:57+08:00","0","measurement_scope=app_run_unmapped; phase_confidence=not_w18_target; Local Parboil SpMV tiny wrapper; Local Parboil SpMV tiny wrapper; Local Parboil SpMV tiny wrapper"
"baseline_off__srad_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","srad_1","srad-1","M","experiments/paper-mascar/workloads/wrappers/run_srad_1.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/workloads/results/W24/w24_sweep_dryrun_20260605_173556/runs/baseline_off/srad_1","1800","0","0","completed_exit0","2026-06-05T17:35:57+08:00","2026-06-05T17:35:57+08:00","0","measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local SRAD app exists but srad-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local SRAD app exists but srad-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update."
"baseline_off__srad_2","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","srad_2","srad-2","M","experiments/paper-mascar/workloads/wrappers/run_srad_2.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/workloads/results/W24/w24_sweep_dryrun_20260605_173556/runs/baseline_off/srad_2","1800","0","0","completed_exit0","2026-06-05T17:35:57+08:00","2026-06-05T17:35:57+08:00","0","measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local SRAD app exists but srad-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local SRAD app exists but srad-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update."
"baseline_off__bp_1","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","bp_1","BP-1","C","experiments/paper-mascar/workloads/wrappers/run_bp_1.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/workloads/results/W24/w24_sweep_dryrun_20260605_173556/runs/baseline_off/bp_1","1800","0","0","completed_exit0","2026-06-05T17:35:57+08:00","2026-06-05T17:35:57+08:00","0","measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local backprop app exists but BP-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local backprop app exists but BP-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update."
"baseline_off__histo_2","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","histo_2","histo-2","C","experiments/paper-mascar/workloads/wrappers/run_histo_2.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/workloads/results/W24/w24_sweep_dryrun_20260605_173556/runs/baseline_off/histo_2","1800","0","0","completed_exit0","2026-06-05T17:35:57+08:00","2026-06-05T17:35:57+08:00","0","measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local histo app exists but histo-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local histo app exists but histo-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update."
"baseline_off__kmeans_2","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","kmeans_2","kmeans-2","C","experiments/paper-mascar/workloads/wrappers/run_kmeans_2.sh","ready","/workspace/repos/gpgpu-sim_distribution/experiments/paper-mascar/workloads/results/W24/w24_sweep_dryrun_20260605_173556/runs/baseline_off/kmeans_2","1800","0","0","completed_exit0","2026-06-05T17:35:57+08:00","2026-06-05T17:35:57+08:00","0","measurement_scope=app_run_inferred_phase; phase_confidence=inferred_order; Local kmeans app exists but kmeans-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local kmeans app exists but kmeans-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update."
