paper_id,paper_name,paper_type,m2_active_any,m3_active_any,m4_active_any,m2_active_configs,m3_active_configs,m4_active_configs
bp_2,BP-2,M,1,0,1,m2_owner_sched;m3_hitonly_nack;m4_reexec_load,,m4_reexec_load
bfs,bfs,M,0,0,0,,,
histo_1,histo-1,M,0,0,0,,,
histo_3,histo-3,M,0,0,0,,,
kmeans_1,kmeans-1,M,0,0,0,,,
lbm,lbm,M,0,0,0,,,
leuko_1,leuko-1,M,0,0,0,,,
mrig_1,mrig-1,M,0,0,0,,,
mrig_2,mrig-2,M,0,0,0,,,
mummer,mummer,M,0,0,0,,,
particle,particle,M,0,0,0,,,
sad_2,sad-2,M,0,0,0,,,
spmv,spmv,M,0,0,0,,,
srad_1,srad-1,M,1,0,1,m2_owner_sched;m3_hitonly_nack;m4_reexec_load,,m4_reexec_load
srad_2,srad-2,M,1,0,1,m2_owner_sched;m3_hitonly_nack;m4_reexec_load,,m4_reexec_load
bp_1,BP-1,C,1,0,1,m2_owner_sched;m3_hitonly_nack;m4_reexec_load,,m4_reexec_load
cutcp,cutcp,C,0,0,0,,,
histo_2,histo-2,C,0,0,0,,,
histogram,histogram,C,0,0,0,,,
kmeans_2,kmeans-2,C,0,0,0,,,
lavamd,lavaMD,C,0,0,0,,,
leuko_2,leuko-2,C,0,0,0,,,
leuko_3,leuko-3,C,0,0,0,,,
mri_q,mri-q,C,0,0,0,,,
mrig_3,mrig-3,C,0,0,0,,,
pathfinder,pathfinder,C,0,0,0,,,
sad_1,sad-1,C,0,0,0,,,
sgemm,sgemm,C,0,0,0,,,
stencil,stencil,C,0,0,0,,,
tpacf,tpacf,C,0,0,0,,,
