paper_id,paper_name,paper_type,availability_status,wrapper_status,selected_for_w24,measurement_scope,phase_mapping_status_w18,phase_mapping_confidence_w18,baseline_status,m2_status,m3_status,m4_status,m2_active,m3_active,m4_active,valid_for_trend,correctness_status,next_action
bp_2,BP-2,M,available,ready,1,app_run_inferred_phase,mapped_by_launch_order,inferred_order,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,1,0,1,1,stats_only_not_correctness_pass,needs_exact_phase_mapping
bfs,bfs,M,available,ready,1,app_run_unmapped,inferred,not_w18_target,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,0,0,0,1,stats_only_not_correctness_pass,use_in_report
histo_1,histo-1,M,available,ready,1,app_run_inferred_phase,mapped_by_launch_order,inferred_order,completed_explicit_pass,completed_explicit_pass,completed_explicit_pass,completed_explicit_pass,0,0,0,1,explicit_pass,needs_exact_phase_mapping
histo_3,histo-3,M,available,ready,1,app_run_inferred_phase,mapped_by_launch_order,inferred_order,completed_explicit_pass,completed_explicit_pass,completed_explicit_pass,completed_explicit_pass,0,0,0,1,explicit_pass,needs_exact_phase_mapping
kmeans_1,kmeans-1,M,available,ready,1,app_run_inferred_phase,mapped_by_launch_order,inferred_order,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,0,0,0,1,stats_only_not_correctness_pass,needs_exact_phase_mapping
lbm,lbm,M,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
leuko_1,leuko-1,M,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
mrig_1,mrig-1,M,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
mrig_2,mrig-2,M,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
mummer,mummer,M,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
particle,particle,M,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
sad_2,sad-2,M,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
spmv,spmv,M,available,ready,1,app_run_unmapped,inferred,not_w18_target,completed_explicit_pass,completed_explicit_pass,completed_explicit_pass,completed_explicit_pass,0,0,0,1,explicit_pass,use_in_report
srad_1,srad-1,M,available,ready,1,app_run_inferred_phase,mapped_by_launch_order,inferred_order,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,1,0,1,1,stats_only_not_correctness_pass,needs_exact_phase_mapping
srad_2,srad-2,M,available,ready,1,app_run_inferred_phase,mapped_by_launch_order,inferred_order,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,1,0,1,1,stats_only_not_correctness_pass,needs_exact_phase_mapping
bp_1,BP-1,C,available,ready,1,app_run_inferred_phase,mapped_by_launch_order,inferred_order,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,1,0,1,1,stats_only_not_correctness_pass,needs_exact_phase_mapping
cutcp,cutcp,C,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
histo_2,histo-2,C,available,ready,1,app_run_inferred_phase,mapped_by_launch_order,inferred_order,completed_explicit_pass,completed_explicit_pass,completed_explicit_pass,completed_explicit_pass,0,0,0,1,explicit_pass,needs_exact_phase_mapping
histogram,histogram,C,missing_source,placeholder_missing_source,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
