paper_id,paper_name,paper_type,paper_suite,wrapper_status,availability_status,selected_for_w6,ready_candidate,activation_ready_observed,baseline_off,m2_owner_sched,m3_hitonly_nack,m4_reexec_load,coverage_status
bp_2,BP-2,M,Rodinia,placeholder_phase_unknown,partial_phase_unknown,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
bfs,bfs,M,Rodinia,ready,available,1,1,0,completed_stats_found,completed_stats_found,completed_stats_found,completed_stats_found,ready_swept_no_activation
histo_1,histo-1,M,Parboil,placeholder_phase_unknown,partial_phase_unknown,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
histo_3,histo-3,M,Parboil,placeholder_phase_unknown,partial_phase_unknown,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
kmeans_1,kmeans-1,M,Rodinia,placeholder_phase_unknown,partial_phase_unknown,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
lbm,lbm,M,Parboil,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
leuko_1,leuko-1,M,Rodinia,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
mrig_1,mrig-1,M,Parboil,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
mrig_2,mrig-2,M,Parboil,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
mummer,mummer,M,Rodinia,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
particle,particle,M,Rodinia,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
sad_2,sad-2,M,Parboil,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
spmv,spmv,M,Parboil,ready,available,1,1,0,completed_explicit_pass,completed_explicit_pass,completed_explicit_pass,completed_explicit_pass,ready_swept_no_activation
srad_1,srad-1,M,Rodinia,placeholder_phase_unknown,partial_phase_unknown,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
srad_2,srad-2,M,Rodinia,placeholder_phase_unknown,partial_phase_unknown,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
bp_1,BP-1,C,Rodinia,placeholder_phase_unknown,partial_phase_unknown,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
cutcp,cutcp,C,Parboil,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
histo_2,histo-2,C,Parboil,placeholder_phase_unknown,partial_phase_unknown,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
histogram,histogram,C,Rodinia,placeholder_missing_source,missing_source,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
kmeans_2,kmeans-2,C,Rodinia,placeholder_phase_unknown,partial_phase_unknown,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
lavamd,lavaMD,C,Rodinia,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
leuko_2,leuko-2,C,Rodinia,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
leuko_3,leuko-3,C,Rodinia,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
mri_q,mri-q,C,Parboil,ready,available,1,1,0,completed_stats_found,completed_stats_found,completed_stats_found,completed_stats_found,ready_swept_no_activation
mrig_3,mrig-3,C,Parboil,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
pathfinder,pathfinder,C,Rodinia,ready,available,1,1,0,completed_stats_found,completed_stats_found,completed_stats_found,completed_stats_found,ready_swept_no_activation
sad_1,sad-1,C,Parboil,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
sgemm,sgemm,C,Parboil,ready,available,1,1,0,completed_stats_found,completed_stats_found,completed_stats_found,completed_stats_found,ready_swept_no_activation
stencil,stencil,C,Parboil,ready,available,1,1,0,completed_stats_found,completed_stats_found,completed_stats_found,completed_stats_found,ready_swept_no_activation
tpacf,tpacf,C,Parboil,placeholder_missing_binary,missing_binary,0,0,0,not_run,not_run,not_run,not_run,not_ready_not_run
