paper_id,paper_name,paper_type,config_id,classification,completed,explicit_pass,correctness_basis,gpu_tot_sim_cycle,gpu_tot_ipc,baseline_cycles,baseline_ipc,cycle_speedup_vs_baseline,ipc_ratio_vs_baseline,l1_sat_samples,l1_sat_saturated_samples,m2_mp_cycles,m2_owner_acquire,m2_nonowner_mem_block,m3_hitonly_attempt,m3_hitonly_nack,m4_enqueue_success,m4_retry_attempt,m4_retry_nack,m2_active,m3_active,m4_active,any_m2_m3_m4_active,trend_interpretation
bfs,bfs,M,baseline_off,completed_stats_found,1,0,stats_only_no_explicit_pass,7518,0.7032,7518,0.7032,1.000000,1.000000,67,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
spmv,spmv,M,baseline_off,completed_explicit_pass,1,1,explicit_pass,12190,5.2712,12190,5.2712,1.000000,1.000000,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
mri_q,mri-q,C,baseline_off,completed_stats_found,1,0,stats_only_no_explicit_pass,5546,1.1424,5546,1.1424,1.000000,1.000000,24,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
pathfinder,pathfinder,C,baseline_off,completed_stats_found,1,0,stats_only_no_explicit_pass,7351,5.2760,7351,5.2760,1.000000,1.000000,120,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
sgemm,sgemm,C,baseline_off,completed_stats_found,1,0,stats_only_no_explicit_pass,32003,21.6620,32003,21.6620,1.000000,1.000000,4352,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
stencil,stencil,C,baseline_off,completed_stats_found,1,0,stats_only_no_explicit_pass,9817,14.8314,9817,14.8314,1.000000,1.000000,568,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
bfs,bfs,M,m2_owner_sched,completed_stats_found,1,0,stats_only_no_explicit_pass,7518,0.7032,7518,0.7032,1.000000,1.000000,67,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
spmv,spmv,M,m2_owner_sched,completed_explicit_pass,1,1,explicit_pass,12190,5.2712,12190,5.2712,1.000000,1.000000,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
mri_q,mri-q,C,m2_owner_sched,completed_stats_found,1,0,stats_only_no_explicit_pass,5546,1.1424,5546,1.1424,1.000000,1.000000,24,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
pathfinder,pathfinder,C,m2_owner_sched,completed_stats_found,1,0,stats_only_no_explicit_pass,7351,5.2760,7351,5.2760,1.000000,1.000000,120,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
sgemm,sgemm,C,m2_owner_sched,completed_stats_found,1,0,stats_only_no_explicit_pass,32003,21.6620,32003,21.6620,1.000000,1.000000,4352,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
stencil,stencil,C,m2_owner_sched,completed_stats_found,1,0,stats_only_no_explicit_pass,9817,14.8314,9817,14.8314,1.000000,1.000000,568,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
bfs,bfs,M,m3_hitonly_nack,completed_stats_found,1,0,stats_only_no_explicit_pass,7518,0.7032,7518,0.7032,1.000000,1.000000,67,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
spmv,spmv,M,m3_hitonly_nack,completed_explicit_pass,1,1,explicit_pass,12190,5.2712,12190,5.2712,1.000000,1.000000,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
mri_q,mri-q,C,m3_hitonly_nack,completed_stats_found,1,0,stats_only_no_explicit_pass,5546,1.1424,5546,1.1424,1.000000,1.000000,24,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
pathfinder,pathfinder,C,m3_hitonly_nack,completed_stats_found,1,0,stats_only_no_explicit_pass,7351,5.2760,7351,5.2760,1.000000,1.000000,120,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
sgemm,sgemm,C,m3_hitonly_nack,completed_stats_found,1,0,stats_only_no_explicit_pass,32003,21.6620,32003,21.6620,1.000000,1.000000,4352,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
stencil,stencil,C,m3_hitonly_nack,completed_stats_found,1,0,stats_only_no_explicit_pass,9817,14.8314,9817,14.8314,1.000000,1.000000,568,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
bfs,bfs,M,m4_reexec_load,completed_stats_found,1,0,stats_only_no_explicit_pass,7518,0.7032,7518,0.7032,1.000000,1.000000,67,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
spmv,spmv,M,m4_reexec_load,completed_explicit_pass,1,1,explicit_pass,12190,5.2712,12190,5.2712,1.000000,1.000000,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
mri_q,mri-q,C,m4_reexec_load,completed_stats_found,1,0,stats_only_no_explicit_pass,5546,1.1424,5546,1.1424,1.000000,1.000000,24,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
pathfinder,pathfinder,C,m4_reexec_load,completed_stats_found,1,0,stats_only_no_explicit_pass,7351,5.2760,7351,5.2760,1.000000,1.000000,120,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
sgemm,sgemm,C,m4_reexec_load,completed_stats_found,1,0,stats_only_no_explicit_pass,32003,21.6620,32003,21.6620,1.000000,1.000000,4352,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
stencil,stencil,C,m4_reexec_load,completed_stats_found,1,0,stats_only_no_explicit_pass,9817,14.8314,9817,14.8314,1.000000,1.000000,568,0,0,0,0,0,0,0,0,0,0,0,0,0,mechanism_not_activated
