paper_id,paper_name,paper_type,baseline_off,m4_reexec_load
bp_2,BP-2,M,phase_unknown,phase_unknown
bfs,bfs,M,completed_no_explicit_pass,completed_no_explicit_pass
histo_1,histo-1,M,phase_unknown,phase_unknown
histo_3,histo-3,M,phase_unknown,phase_unknown
kmeans_1,kmeans-1,M,phase_unknown,phase_unknown
lbm,lbm,M,missing_binary,missing_binary
leuko_1,leuko-1,M,missing_binary,missing_binary
mrig_1,mrig-1,M,missing_binary,missing_binary
mrig_2,mrig-2,M,missing_binary,missing_binary
mummer,mummer,M,missing_binary,missing_binary
particle,particle,M,missing_binary,missing_binary
sad_2,sad-2,M,missing_binary,missing_binary
spmv,spmv,M,completed_explicit_pass,completed_explicit_pass
srad_1,srad-1,M,phase_unknown,phase_unknown
srad_2,srad-2,M,phase_unknown,phase_unknown
bp_1,BP-1,C,phase_unknown,phase_unknown
cutcp,cutcp,C,missing_binary,missing_binary
histo_2,histo-2,C,phase_unknown,phase_unknown
histogram,histogram,C,missing_source,missing_source
kmeans_2,kmeans-2,C,phase_unknown,phase_unknown
lavamd,lavaMD,C,missing_binary,missing_binary
leuko_2,leuko-2,C,missing_binary,missing_binary
leuko_3,leuko-3,C,missing_binary,missing_binary
mri_q,mri-q,C,completed_no_explicit_pass,completed_no_explicit_pass
mrig_3,mrig-3,C,missing_binary,missing_binary
pathfinder,pathfinder,C,completed_no_explicit_pass,completed_no_explicit_pass
sad_1,sad-1,C,missing_binary,missing_binary
sgemm,sgemm,C,completed_no_explicit_pass,completed_no_explicit_pass
stencil,stencil,C,completed_no_explicit_pass,completed_no_explicit_pass
tpacf,tpacf,C,missing_binary,missing_binary
