suite,suite_workload_id,benchmark,round,method,work_dir,command,exit_code,timeout,log_path,result_status,notes
rodinia,rodinia_backprop,backprop,round1,wrapper_make,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_backprop_round1_wrapper_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_bfs,bfs,round1,wrapper_make,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_bfs_round1_wrapper_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_hotspot,hotspot,round1,wrapper_make,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_hotspot_round1_wrapper_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_kmeans,kmeans,round1,wrapper_make,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_kmeans_round1_wrapper_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_lud,lud,round1,wrapper_make,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_lud_round1_wrapper_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_nw,nw,round1,wrapper_make,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_nw_round1_wrapper_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_pathfinder,pathfinder,round1,wrapper_make,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_pathfinder_round1_wrapper_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_srad,srad,round1,wrapper_make,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_srad_round1_wrapper_make.log,pass,W19B build/recovery attempt
parboil,parboil_histo,histo,round1,wrapper_make,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_histo_round1_wrapper_make.log,pass,W19B build/recovery attempt
parboil,parboil_mri_q,mri-q,round1,wrapper_make,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_mri_q_round1_wrapper_make.log,pass,W19B build/recovery attempt
parboil,parboil_sgemm,sgemm,round1,wrapper_make,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_sgemm_round1_wrapper_make.log,pass,W19B build/recovery attempt
