suite_id,suite_name,app_id,app_name,benchmark_name,variant,source_path,binary_path,data_path,build_command,run_command,wrapper_path,wrapper_status,availability_status,build_status,data_status,command_status,smoke_status,correctness_status,input_scale,default_timeout_sec,current_ready,table_iii_related,table_iii_paper_ids,phase_mapping_status,blocker,next_action,notes
rodinia,Rodinia,rodinia_bplustree,rodinia_bplustree,b+tree,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/penmp,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/Makefile,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,binary_available_command_unverified,binary_ready,missing_or_unverified_data,command_unverified,not_run,unknown,unknown,1800,0,0,none,not_applicable,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_backprop,rodinia_backprop,backprop,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/backprop/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop && source /workspace/repos/load_gpgpusim.sh && ./backprop 256,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,missing_or_unverified_data,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,1,bp_1;bp_2,inferred_order_or_existing,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_bfs,rodinia_bfs,bfs,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/bfs,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/bfs.out,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/data,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/bfs/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs && source /workspace/repos/load_gpgpusim.sh && ./bfs.out data/tiny_graph.txt,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,data_available,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,1,bfs,inferred_order_or_existing,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_cfd,rodinia_cfd,cfd,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd,unknown,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/Makefile,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,source_available_missing_binary,missing_binary,missing_or_unverified_data,unknown,not_run,unknown,unknown,1800,0,0,none,not_applicable,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_dwt2d,rodinia_dwt2d,dwt2d,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d,unknown,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/Makefile,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,source_available_missing_binary,missing_binary,missing_or_unverified_data,unknown,not_run,unknown,unknown,1800,0,0,none,not_applicable,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_gaussian,rodinia_gaussian,gaussian,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/gaussian,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian && source /workspace/repos/load_gpgpusim.sh && ./gaussian -s 16,generated_by_run_full_suite_matrix,placeholder_unavailable,failed_smoke,binary_ready,missing_or_unverified_data,command_unverified,nonzero_no_stats,failed,tiny,900,0,0,none,not_applicable,W19 smoke failed: nonzero_no_stats,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_heartwall,rodinia_heartwall,heartwall,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/heartwall,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/Makefile,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,binary_available_command_unverified,binary_ready,missing_or_unverified_data,command_unverified,not_run,unknown,unknown,1800,0,0,none,not_applicable,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_hotspot,rodinia_hotspot,hotspot,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot/hotspot,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot && source /workspace/repos/load_gpgpusim.sh && ./hotspot 64 1 1 temp_64 power_64 output.out,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,missing_or_unverified_data,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,0,none,not_applicable,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_hotspot3D,rodinia_hotspot3D,hotspot3D,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D/3D,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D/Makefile,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,binary_available_command_unverified,binary_ready,missing_or_unverified_data,command_unverified,not_run,unknown,unknown,1800,0,0,none,not_applicable,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_huffman,rodinia_huffman,huffman,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/pavle,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/Makefile,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,binary_available_command_unverified,binary_ready,missing_or_unverified_data,command_unverified,not_run,unknown,unknown,1800,0,0,none,not_applicable,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_hybridsort,rodinia_hybridsort,hybridsort,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort,unknown,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/Makefile,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,source_available_missing_binary,missing_binary,missing_or_unverified_data,unknown,not_run,unknown,unknown,1800,0,0,none,not_applicable,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_kmeans,rodinia_kmeans,kmeans,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/data,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/kmeans/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,data_available,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,1,kmeans_1;kmeans_2,inferred_order_or_existing,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_lavaMD,rodinia_lavaMD,lavaMD,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD,unknown,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD/makefile,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,source_available_missing_binary,missing_binary,missing_or_unverified_data,unknown,not_run,unknown,unknown,1800,0,0,none,not_applicable,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_leukocyte,rodinia_leukocyte,leukocyte,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,unknown,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte/Makefile,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,source_available_missing_binary,missing_binary,missing_or_unverified_data,unknown,not_run,unknown,unknown,1800,0,0,none,not_applicable,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_lud,rodinia_lud,lud,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lud,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud/lud_cuda,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lud/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud && source /workspace/repos/load_gpgpusim.sh && ./lud_cuda -s 32 -v,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,missing_or_unverified_data,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,0,none,not_applicable,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_mummergpu,rodinia_mummergpu,mummergpu,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/data,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/Makefile,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,source_available_missing_binary,missing_binary,data_available,unknown,not_run,unknown,unknown,1800,0,0,none,not_applicable,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_myocyte,rodinia_myocyte,myocyte,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte/myocyte.out,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte && source /workspace/repos/load_gpgpusim.sh && ./myocyte.out 100 1 0,generated_by_run_full_suite_matrix,placeholder_unavailable,failed_smoke,binary_ready,missing_or_unverified_data,command_unverified,nonzero_no_stats,failed,tiny,1200,0,0,none,not_applicable,W19 smoke failed: nonzero_no_stats,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_nn,rodinia_nn,nn,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nn,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nn/nn,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nn/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nn && source /workspace/repos/load_gpgpusim.sh && ./nn filelist_4 -r 5 -lat 30 -lng 90,generated_by_run_full_suite_matrix,placeholder_unavailable,failed_smoke,binary_ready,missing_or_unverified_data,command_unverified,nonzero_no_stats,failed,tiny,900,0,0,none,not_applicable,W19 smoke failed: nonzero_no_stats,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_nw,rodinia_nw,nw,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nw,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw/needle,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nw/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw && source /workspace/repos/load_gpgpusim.sh && ./needle 64 10,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,missing_or_unverified_data,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,0,none,not_applicable,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_particlefilter,rodinia_particlefilter,particlefilter,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter,unknown,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter/Makefile,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,source_available_missing_binary,missing_binary,missing_or_unverified_data,unknown,not_run,unknown,unknown,1800,0,0,none,not_applicable,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_pathfinder,rodinia_pathfinder,pathfinder,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/pathfinder,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder/pathfinder,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/pathfinder/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder && source /workspace/repos/load_gpgpusim.sh && ./pathfinder 64 64 2,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,missing_or_unverified_data,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,1,pathfinder,inferred_order_or_existing,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_srad,rodinia_srad,srad,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/srad,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/srad/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2 && source /workspace/repos/load_gpgpusim.sh && ./srad 64 64 0 31 0 31 0.5 1,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,missing_or_unverified_data,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,1,srad_1;srad_2,inferred_order_or_existing,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_streamcluster,rodinia_streamcluster,streamcluster,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster/sc_gpu,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster && source /workspace/repos/load_gpgpusim.sh && ./sc_gpu 10 20 32 256 256 10 none output.txt 1,generated_by_run_full_suite_matrix,placeholder_unavailable,failed_smoke,binary_ready,missing_or_unverified_data,command_unverified,nonzero_no_stats,failed,tiny,1200,0,0,none,not_applicable,W19 smoke failed: nonzero_no_stats,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
parboil,Parboil,parboil_bfs,parboil_bfs,bfs,default,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/bfs,unknown,unknown,unknown,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,source_available_missing_binary,missing_binary,missing_or_unverified_data,unknown,not_run,unknown,unknown,1800,0,1,bfs,inferred_order_or_existing,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,Parboil,parboil_cp,parboil_cp,cp,default,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp,unknown,unknown,unknown,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,source_available_missing_binary,missing_binary,missing_or_unverified_data,unknown,not_run,unknown,unknown,1800,0,0,none,not_applicable,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil,Parboil,parboil_cutcp,parboil_cutcp,cutcp,default,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp,unknown,unknown,unknown,unknown,generated_by_run_full_suite_matrix,placeholder_unavailable,source_available_missing_binary,missing_binary,missing_or_unverified_data,unknown,not_run,unknown,unknown,1800,0,1,cutcp,inferred_order_or_existing,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
