suite_id,suite_name,app_id,app_name,benchmark_name,variant,source_path,binary_path,data_path,build_command,run_command,wrapper_path,wrapper_status,availability_status,build_status,data_status,command_status,smoke_status,correctness_status,input_scale,default_timeout_sec,current_ready,table_iii_related,table_iii_paper_ids,phase_mapping_status,blocker,next_action,notes
rodinia,Rodinia,rodinia_backprop,rodinia_backprop,backprop,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/backprop/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop && source /workspace/repos/load_gpgpusim.sh && ./backprop 256,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,missing_or_unverified_data,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,1,bp_1;bp_2,inferred_order_or_existing,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_bfs,rodinia_bfs,bfs,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/bfs,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/bfs.out,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/data,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/bfs/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs && source /workspace/repos/load_gpgpusim.sh && ./bfs.out data/tiny_graph.txt,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,data_available,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,1,bfs,inferred_order_or_existing,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_hotspot,rodinia_hotspot,hotspot,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot/hotspot,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot && source /workspace/repos/load_gpgpusim.sh && ./hotspot 64 1 1 temp_64 power_64 output.out,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,missing_or_unverified_data,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,0,none,not_applicable,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_kmeans,rodinia_kmeans,kmeans,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/data,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/kmeans/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,data_available,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,1,kmeans_1;kmeans_2,inferred_order_or_existing,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_lud,rodinia_lud,lud,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lud,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud/lud_cuda,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lud/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud && source /workspace/repos/load_gpgpusim.sh && ./lud_cuda -s 32 -v,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,missing_or_unverified_data,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,0,none,not_applicable,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_nw,rodinia_nw,nw,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nw,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw/needle,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nw/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw && source /workspace/repos/load_gpgpusim.sh && ./needle 64 10,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,missing_or_unverified_data,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,0,none,not_applicable,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_pathfinder,rodinia_pathfinder,pathfinder,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/pathfinder,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder/pathfinder,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/pathfinder/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder && source /workspace/repos/load_gpgpusim.sh && ./pathfinder 64 64 2,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,missing_or_unverified_data,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,1,pathfinder,inferred_order_or_existing,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,Rodinia,rodinia_srad,rodinia_srad,srad,default,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/srad,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/srad/Makefile,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2 && source /workspace/repos/load_gpgpusim.sh && ./srad 64 64 0 31 0 31 0.5 1,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,missing_or_unverified_data,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,1,srad_1;srad_2,inferred_order_or_existing,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil,Parboil,parboil_histo,parboil_histo,histo,default,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/data,unknown,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,data_available,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,1,histo_1;histo_2;histo_3,inferred_order_or_existing,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil,Parboil,parboil_mri_q,parboil_mri_q,mri-q,default,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/data,unknown,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q && source /workspace/repos/load_gpgpusim.sh && ./mri-q -i data/tiny.bin 32,generated_by_run_full_suite_matrix,ready,ready,ready_existing_manifest,data_available,command_verified,completed_explicit_pass,explicit_pass,tiny,1800,1,1,mri_q,inferred_order_or_existing,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
