suite,suite_workload_id,benchmark,source_dir,source_exists,cuda_source_count,makefile_path,wrapper_dir,wrapper_exists,binary_path,binary_exists,binary_executable,data_path,data_exists,data_file_count,existing_manifest_app,existing_manifest_status,run_command,availability_status,blocker,next_action,notes
rodinia,rodinia_bplustree,b+tree,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree,1,5,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/Makefile,,0,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/penmp,1,1,,0,0,,,,binary_available_command_unverified,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_backprop,backprop,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/backprop,1,2,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/backprop/Makefile,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,1,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,1,1,,0,0,rodinia_backprop,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop && source /workspace/repos/load_gpgpusim.sh && ./backprop 256,ready,,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_bfs,bfs,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/bfs,1,3,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/bfs/Makefile,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs,1,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/bfs.out,1,1,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/data,1,1,rodinia_bfs,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs && source /workspace/repos/load_gpgpusim.sh && ./bfs.out data/tiny_graph.txt,ready,,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_cfd,cfd,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd,1,4,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd/Makefile,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_dwt2d,dwt2d,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d,1,8,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d/Makefile,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_gaussian,gaussian,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian,1,1,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/Makefile,,0,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/gaussian,1,1,,0,0,,,,binary_available_command_unverified,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_heartwall,heartwall,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall,1,3,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/Makefile,,0,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/heartwall,1,1,,0,0,,,,binary_available_command_unverified,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_hotspot,hotspot,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot,1,1,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot/Makefile,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot,1,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot/hotspot,1,1,,0,0,rodinia_hotspot,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot && source /workspace/repos/load_gpgpusim.sh && ./hotspot 64 1 1 temp_64 power_64 output.out,ready,,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_hotspot3D,hotspot3D,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D,1,2,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D/Makefile,,0,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D/3D,1,1,,0,0,,,,binary_available_command_unverified,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_huffman,huffman,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman,1,7,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/Makefile,,0,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/pavle,1,1,,0,0,,,,binary_available_command_unverified,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_hybridsort,hybridsort,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort,1,6,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort/Makefile,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
