suite_workload_id,suite,benchmark,availability_status,wrapper_status,source_dir,binary_path,run_working_dir,run_command,timeout_sec,input_size,expected_verification,blocker,next_action,notes
rodinia_bplustree,rodinia,b+tree,binary_available_command_unverified,placeholder_unavailable,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/penmp,,,1800,,,command/data not normalized in workload manifest,derive small input command and promote after smoke,Placeholder retained; not eligible for W19D smoke until binary/command/data are resolved
rodinia_backprop,rodinia,backprop,ready_existing_manifest,ready,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop && source /workspace/repos/load_gpgpusim.sh && ./backprop 256,1800,tiny,completed_no_explicit_pass,,dry-run and smoke validation,Existing workload_manifest ready row; W18 background preserved but not modified
rodinia_bfs,rodinia,bfs,ready_existing_manifest,ready,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/bfs,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/bfs.out,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs && source /workspace/repos/load_gpgpusim.sh && ./bfs.out data/tiny_graph.txt,1800,tiny,completed_no_explicit_pass,,dry-run and smoke validation,Existing workload_manifest ready row; W18 background preserved but not modified
rodinia_cfd,rodinia,cfd,source_available_missing_binary,placeholder_unavailable,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd,,,,1800,,,no verified executable binary,try W19B build/recovery rounds,Placeholder retained; not eligible for W19D smoke until binary/command/data are resolved
rodinia_dwt2d,rodinia,dwt2d,source_available_missing_binary,placeholder_unavailable,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d,,,,1800,,,no verified executable binary,try W19B build/recovery rounds,Placeholder retained; not eligible for W19D smoke until binary/command/data are resolved
rodinia_gaussian,rodinia,gaussian,ready_build_recovered_candidate,ready,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian/gaussian,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian && source /workspace/repos/load_gpgpusim.sh && ./gaussian -s 16,900,tiny,completed_no_explicit_pass,,smoke validation before promotion to canonical workload manifest,W19B raw_make pass; size-based input avoids missing matrix data
rodinia_heartwall,rodinia,heartwall,binary_available_command_unverified,placeholder_unavailable,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall/heartwall,,,1800,,,command/data not normalized in workload manifest,derive small input command and promote after smoke,Placeholder retained; not eligible for W19D smoke until binary/command/data are resolved
rodinia_hotspot,rodinia,hotspot,ready_existing_manifest,ready,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot/hotspot,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/hotspot && source /workspace/repos/load_gpgpusim.sh && ./hotspot 64 1 1 temp_64 power_64 output.out,1800,tiny,completed_no_explicit_pass,,dry-run and smoke validation,Existing workload_manifest ready row; W18 background preserved but not modified
rodinia_hotspot3D,rodinia,hotspot3D,binary_available_command_unverified,placeholder_unavailable,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D/3D,,,1800,,,command/data not normalized in workload manifest,derive small input command and promote after smoke,Placeholder retained; not eligible for W19D smoke until binary/command/data are resolved
rodinia_huffman,rodinia,huffman,binary_available_command_unverified,placeholder_unavailable,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman/pavle,,,1800,,,command/data not normalized in workload manifest,derive small input command and promote after smoke,Placeholder retained; not eligible for W19D smoke until binary/command/data are resolved
