suite_workload_id,suite,benchmark,availability_status,classification
rodinia_backprop,rodinia,backprop,ready_existing_manifest,completed_explicit_pass
rodinia_bfs,rodinia,bfs,ready_existing_manifest,completed_explicit_pass
rodinia_gaussian,rodinia,gaussian,ready_build_recovered_candidate,nonzero_no_stats
rodinia_hotspot,rodinia,hotspot,ready_existing_manifest,completed_explicit_pass
rodinia_kmeans,rodinia,kmeans,ready_existing_manifest,completed_explicit_pass
rodinia_lud,rodinia,lud,ready_existing_manifest,completed_explicit_pass
rodinia_myocyte,rodinia,myocyte,ready_build_recovered_candidate,nonzero_no_stats
rodinia_nn,rodinia,nn,ready_build_recovered_candidate,nonzero_no_stats
rodinia_nw,rodinia,nw,ready_existing_manifest,completed_explicit_pass
rodinia_pathfinder,rodinia,pathfinder,ready_existing_manifest,completed_explicit_pass
rodinia_srad,rodinia,srad,ready_existing_manifest,completed_explicit_pass
rodinia_streamcluster,rodinia,streamcluster,ready_build_recovered_candidate,nonzero_no_stats
parboil_histo,parboil,histo,ready_existing_manifest,completed_explicit_pass
parboil_mri_q,parboil,mri-q,ready_existing_manifest,completed_explicit_pass
parboil_sgemm,parboil,sgemm,ready_existing_manifest,completed_explicit_pass
parboil_spmv,parboil,spmv,ready_existing_manifest,completed_explicit_pass
parboil_stencil,parboil,stencil,ready_existing_manifest,completed_explicit_pass
