run_id,config_id,config_path,paper_id,paper_name,paper_type,wrapper_path,wrapper_status,run_dir,timeout_sec,exit_code,timeout,result_status_prelim,start_iso,end_iso,elapsed_sec,notes
"baseline_off__rodinia_backprop","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","rodinia_backprop","rodinia_backprop","rodinia","experiments/suites/results/W22/run_final_smoke_20260605_164356/generated_wrappers/rodinia_backprop.sh","ready","experiments/suites/results/W22/run_final_smoke_20260605_164356/runs/baseline_off/rodinia_backprop","1800","0","0","completed_exit0","2026-06-05T16:43:56+08:00","2026-06-05T16:44:00+08:00","4","W18 phase mapping retained as background only; not modified by W19"
"baseline_off__rodinia_bfs","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","rodinia_bfs","rodinia_bfs","rodinia","experiments/suites/results/W22/run_final_smoke_20260605_164356/generated_wrappers/rodinia_bfs.sh","ready","experiments/suites/results/W22/run_final_smoke_20260605_164356/runs/baseline_off/rodinia_bfs","1800","0","0","completed_exit0","2026-06-05T16:44:00+08:00","2026-06-05T16:44:23+08:00","23","W18 phase mapping retained as background only; not modified by W19"
"baseline_off__rodinia_hotspot","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","rodinia_hotspot","rodinia_hotspot","rodinia","experiments/suites/results/W22/run_final_smoke_20260605_164356/generated_wrappers/rodinia_hotspot.sh","ready","experiments/suites/results/W22/run_final_smoke_20260605_164356/runs/baseline_off/rodinia_hotspot","1800","0","0","completed_exit0","2026-06-05T16:44:23+08:00","2026-06-05T16:44:26+08:00","3","W18 phase mapping retained as background only; not modified by W19"
"baseline_off__rodinia_kmeans","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","rodinia_kmeans","rodinia_kmeans","rodinia","experiments/suites/results/W22/run_final_smoke_20260605_164356/generated_wrappers/rodinia_kmeans.sh","ready","experiments/suites/results/W22/run_final_smoke_20260605_164356/runs/baseline_off/rodinia_kmeans","1800","0","0","completed_exit0","2026-06-05T16:44:26+08:00","2026-06-05T16:44:31+08:00","5","W18 phase mapping retained as background only; not modified by W19"
"baseline_off__rodinia_lud","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","rodinia_lud","rodinia_lud","rodinia","experiments/suites/results/W22/run_final_smoke_20260605_164356/generated_wrappers/rodinia_lud.sh","ready","experiments/suites/results/W22/run_final_smoke_20260605_164356/runs/baseline_off/rodinia_lud","1800","0","0","completed_exit0","2026-06-05T16:44:31+08:00","2026-06-05T16:44:47+08:00","16","W18 phase mapping retained as background only; not modified by W19"
"baseline_off__rodinia_nw","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","rodinia_nw","rodinia_nw","rodinia","experiments/suites/results/W22/run_final_smoke_20260605_164356/generated_wrappers/rodinia_nw.sh","ready","experiments/suites/results/W22/run_final_smoke_20260605_164356/runs/baseline_off/rodinia_nw","1800","0","0","completed_exit0","2026-06-05T16:44:48+08:00","2026-06-05T16:45:04+08:00","16","W18 phase mapping retained as background only; not modified by W19"
"baseline_off__rodinia_pathfinder","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","rodinia_pathfinder","rodinia_pathfinder","rodinia","experiments/suites/results/W22/run_final_smoke_20260605_164356/generated_wrappers/rodinia_pathfinder.sh","ready","experiments/suites/results/W22/run_final_smoke_20260605_164356/runs/baseline_off/rodinia_pathfinder","1800","0","0","completed_exit0","2026-06-05T16:45:04+08:00","2026-06-05T16:45:53+08:00","49","W18 phase mapping retained as background only; not modified by W19"
"baseline_off__rodinia_srad","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","rodinia_srad","rodinia_srad","rodinia","experiments/suites/results/W22/run_final_smoke_20260605_164356/generated_wrappers/rodinia_srad.sh","ready","experiments/suites/results/W22/run_final_smoke_20260605_164356/runs/baseline_off/rodinia_srad","1800","0","0","completed_exit0","2026-06-05T16:45:53+08:00","2026-06-05T16:45:58+08:00","5","W18 phase mapping retained as background only; not modified by W19"
"baseline_off__parboil_histo","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","parboil_histo","parboil_histo","parboil","experiments/suites/results/W22/run_final_smoke_20260605_164356/generated_wrappers/parboil_histo.sh","ready","experiments/suites/results/W22/run_final_smoke_20260605_164356/runs/baseline_off/parboil_histo","1800","0","0","completed_exit0","2026-06-05T16:45:58+08:00","2026-06-05T16:46:10+08:00","12","W18 phase mapping retained as background only; not modified by W19"
"baseline_off__parboil_mri_q","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","parboil_mri_q","parboil_mri_q","parboil","experiments/suites/results/W22/run_final_smoke_20260605_164356/generated_wrappers/parboil_mri_q.sh","ready","experiments/suites/results/W22/run_final_smoke_20260605_164356/runs/baseline_off/parboil_mri_q","1800","0","0","completed_exit0","2026-06-05T16:46:10+08:00","2026-06-05T16:46:17+08:00","7","W18 phase mapping retained as background only; not modified by W19"
"baseline_off__parboil_sgemm","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","parboil_sgemm","parboil_sgemm","parboil","experiments/suites/results/W22/run_final_smoke_20260605_164356/generated_wrappers/parboil_sgemm.sh","ready","experiments/suites/results/W22/run_final_smoke_20260605_164356/runs/baseline_off/parboil_sgemm","1800","0","0","completed_exit0","2026-06-05T16:46:17+08:00","2026-06-05T16:46:21+08:00","4","W18 phase mapping retained as background only; not modified by W19"
"baseline_off__parboil_spmv","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","parboil_spmv","parboil_spmv","parboil","experiments/suites/results/W22/run_final_smoke_20260605_164356/generated_wrappers/parboil_spmv.sh","ready","experiments/suites/results/W22/run_final_smoke_20260605_164356/runs/baseline_off/parboil_spmv","1800","0","0","completed_exit0","2026-06-05T16:46:21+08:00","2026-06-05T17:00:42+08:00","861","W18 phase mapping retained as background only; not modified by W19"
"baseline_off__parboil_stencil","baseline_off","/workspace/repos/gpgpu-sim_distribution/configs/hrl-repro/SM7_QV100_mascar_baseline_off","parboil_stencil","parboil_stencil","parboil","experiments/suites/results/W22/run_final_smoke_20260605_164356/generated_wrappers/parboil_stencil.sh","ready","experiments/suites/results/W22/run_final_smoke_20260605_164356/runs/baseline_off/parboil_stencil","1800","0","0","completed_exit0","2026-06-05T17:00:42+08:00","2026-06-05T17:00:44+08:00","2","W18 phase mapping retained as background only; not modified by W19"
